"seed","gen","variable","value","xAM","GWAS","Trait_1","Trait_2","pair","traits"
19,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0130597913742579,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
20,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.000995540778194991,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
21,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.0383803364576686,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
22,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0155905726761845,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
23,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0385591114273756,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
24,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.0402889132248967,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
25,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.0143515292679641,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
26,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.00869114642304,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
27,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.0026758893463344,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
28,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0268922305833802,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
29,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0364250610063576,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
30,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.0175041161625789,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
31,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.0306007464206707,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
32,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.0168112378323653,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
33,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0323178886030664,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
34,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.00661085513034085,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
35,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.0439580722941116,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
36,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.00732992017622671,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
37,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0189561099148572,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
38,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.0550073201485397,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
39,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.0157212759976878,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
40,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.029300040090921,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
41,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0070181110795153,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
42,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0084452930991299,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
43,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0293627710882546,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
44,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.0109744447311238,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
45,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.053317745463124,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
46,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.0153710050855842,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
47,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0192842227871154,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
48,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0142391051408818,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
49,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0329151316340579,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
50,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.00985954383174184,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
1,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0619955762259847,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
2,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0513175681465158,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
3,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0211673597970939,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
4,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0223378685049842,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
5,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0864309178833833,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
6,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.00997058019851851,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
7,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.053187333830887,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
8,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0702584157761083,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
9,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0695515978556645,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
10,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.125800675645474,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
11,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0913715440356248,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
12,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.0193370415549618,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
13,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0655203825316992,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
14,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0324712921995619,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
15,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.0204167596535324,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
16,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0455254983687018,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
17,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0506296770553901,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
18,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.106567996977386,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
19,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0137727103042445,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
20,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0445951146916096,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
21,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0432028206735081,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
22,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0866989115048507,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
23,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.114322565394723,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
24,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0572702814730752,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
25,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.029762924244113,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
26,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0368864778702503,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
27,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0664502498651528,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
28,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0623765658572839,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
29,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0754737943041915,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
30,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0385276293241315,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
31,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0327092678379591,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
32,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.053412030704558,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
33,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.112875813005923,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
34,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.102360499705039,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
35,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.113333362734052,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
36,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0454797442158024,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
37,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.056160968055175,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
38,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0811030719859663,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
39,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0225214612664981,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
40,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0148203910297048,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
41,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0836977242179312,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
42,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0683453570052485,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
43,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0743539097027986,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
44,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0538953434293804,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
45,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0687042118354782,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
46,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0151521603778783,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
47,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0429826328858555,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
48,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.078941991517233,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
49,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0446371055627572,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
50,1,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0803160696215239,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
1,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0533327857907128,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
2,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.174516172755789,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
3,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0903999147400485,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
4,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0419060340370391,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
5,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.132057290372183,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
6,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0446593062211055,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
7,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0617376409081754,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
8,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0840547865421579,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
9,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0885790777315146,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
10,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.181222327175484,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
11,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.102071612746195,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
12,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.126497490621617,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
13,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0968197144877538,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
14,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0257197078021063,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
15,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.118438644387548,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
16,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.162479931215929,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
17,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.122949092035822,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
18,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.146923735355793,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
19,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0478888376453505,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
20,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0574029136014095,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
21,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0726729454756091,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
22,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.103786184741912,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
23,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.115431459429293,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
24,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0437578200162542,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
25,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0355325696478728,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
26,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0875644893991359,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
27,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.127110747065257,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
28,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.138535428937758,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
29,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.125227329937006,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
30,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0840089520292759,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
31,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0591939392270842,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
32,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0492134239796262,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
33,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0755997099793315,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
34,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.140036273118799,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
35,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.138673164157615,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
36,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0314850285977116,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
37,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.120899365965811,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
38,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0870819501427583,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
39,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.101595301179639,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
40,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.127965495248116,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
41,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.109583284401713,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
42,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.124097364269358,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
43,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0731100402614973,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
44,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0889243150443317,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
45,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.112825296075169,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
46,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0740664017068759,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
47,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.13809303348819,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
48,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.113224181026857,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
49,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.159551268923041,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
50,2,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0882959422379194,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
1,3,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.117093225756996,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
2,3,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.128651998198302,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
3,3,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.134246119813561,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
4,3,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0496479100302792,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
5,3,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.111591036014898,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
6,3,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.116676062505316,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
7,3,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0972341346790619,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
8,3,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0952226967621246,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
9,3,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.101372915669368,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
10,3,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.15940936486712,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
11,3,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.133941029958812,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
12,3,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0734658930010527,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
13,3,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.102704374862029,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
14,3,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0864882706021643,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
